pollutant,case_type,time_window,target_mean_abs,target_std,target_p90_p10,DIP_L1,KRG_L1,IDW_L1,gap_l1_dip_minus_krg,DIP_MSE,KRG_MSE,gap_mse_dip_minus_krg
METRAQ_NO2_ALL_HOURS_AUTOENCODER,best_l1_vs_krg,2024-02-13 14:00:00,32.55,15.996008777618409,32.439996528625485,8.343240904808045,10.636346101760864,7.777135848999023,-2.2931051969528196,116.61407518386841,166.99088973999022,-50.37681455612183
METRAQ_NO2_ALL_HOURS_AUTOENCODER,best_l1_vs_krg,2024-01-11 20:00:00,34.125,12.662950468063354,25.049998092651368,8.91937551498413,10.40920295715332,9.24555926322937,-1.4898274421691895,113.53906745910645,160.68831558227538,-47.149248123168945
METRAQ_NO2_ALL_HOURS_AUTOENCODER,best_l1_vs_krg,2024-04-19 07:00:00,28.15,7.486222243309021,15.159998321533203,7.290214776992798,8.651479530334473,8.581980800628662,-1.361264753341675,109.33717832565307,101.70305557250977,7.634122753143311
METRAQ_NO2_ALL_HOURS_AUTOENCODER,best_l1_vs_krg,2024-12-25 07:00:00,16.875,11.546422243118286,21.26999702453613,6.884578847885132,8.148190832138061,6.943429279327392,-1.2636119842529296,83.65338258743286,100.55195465087891,-16.89857206344605
METRAQ_NO2_ALL_HOURS_AUTOENCODER,best_l1_vs_krg,2024-07-09 06:00:00,24.95,8.053438568115235,15.939998245239257,6.868212270736694,8.055308818817139,8.85237979888916,-1.1870965480804443,107.8074951171875,132.94652633666993,-25.139031219482423
METRAQ_NO2_ALL_HOURS_AUTOENCODER,worst_l1_vs_krg,2024-11-25 19:00:00,40.35,13.752688884735107,27.879996299743652,14.841977310180663,12.473701858520508,12.486558675765991,2.368275451660156,348.0305633544922,271.916764831543,76.11379852294921
METRAQ_NO2_ALL_HOURS_AUTOENCODER,worst_l1_vs_krg,2024-12-23 19:00:00,35.425,13.509237575531007,27.689996910095214,13.316304445266724,11.727140951156617,12.319046831130981,1.5891634941101072,301.06750373840333,234.19618225097656,66.87132148742675
METRAQ_NO2_ALL_HOURS_AUTOENCODER,worst_l1_vs_krg,2024-02-18 07:00:00,26.475,10.028949165344239,20.729998207092287,10.723149824142457,9.191050577163697,9.55996470451355,1.5320992469787604,147.52082138061525,122.74974708557129,24.771074295043945
METRAQ_NO2_ALL_HOURS_AUTOENCODER,worst_l1_vs_krg,2024-07-17 08:00:00,41.98333320617676,14.494332408905029,29.079997634887697,14.859777307510376,13.393178939819336,14.1192551612854,1.4665983676910397,309.57977600097655,258.62152366638185,50.95825233459474
METRAQ_NO2_ALL_HOURS_AUTOENCODER,worst_l1_vs_krg,2024-02-20 17:00:00,26.55,7.710359025001526,15.999999046325684,7.989473295211792,6.636442041397094,7.727711629867554,1.3530312538146974,89.11005477905273,70.1787181854248,18.931336593627933
METRAQ_NO2_LAST_HOUR_AUTOENCODER,best_l1_vs_krg,2024-10-22 20:00:00,67.475,21.306224870681763,43.62999572753906,18.950567626953124,22.37656421661377,21.996762657165526,-3.4259965896606452,507.67147064208984,702.8440216064453,-195.17255096435545
METRAQ_NO2_LAST_HOUR_AUTOENCODER,best_l1_vs_krg,2024-02-13 14:00:00,32.55,15.996008777618409,32.439996528625485,7.624074411392212,10.636346101760864,7.777135848999023,-3.012271690368652,100.44577379226685,166.99088973999022,-66.54511594772339
METRAQ_NO2_LAST_HOUR_AUTOENCODER,best_l1_vs_krg,2024-01-11 20:00:00,34.125,12.662950468063354,25.049998092651368,7.568336915969849,10.40920295715332,9.24555926322937,-2.8408660411834714,86.85408248901368,160.68831558227538,-73.83423309326172
METRAQ_NO2_LAST_HOUR_AUTOENCODER,best_l1_vs_krg,2024-09-15 06:00:00,16.85,10.399773263931275,20.519997692108156,6.3150203943252565,8.20039176940918,7.7728444814682005,-1.8853713750839234,79.79627275466919,112.02712974548339,-32.2308569908142
METRAQ_NO2_LAST_HOUR_AUTOENCODER,best_l1_vs_krg,2024-05-12 09:00:00,18.075,9.243518280982972,18.16999797821045,7.295175313949585,8.395254254341125,8.814441514015197,-1.10007894039154,145.86787600517272,154.52740592956542,-8.659529924392698
METRAQ_NO2_LAST_HOUR_AUTOENCODER,worst_l1_vs_krg,2024-11-15 16:00:00,19.6,7.079905426502227,14.399998664855957,11.053558349609375,6.240215539932251,6.89459638595581,4.813342809677124,731.62482213974,63.55012474060059,668.0746973991394
METRAQ_NO2_LAST_HOUR_AUTOENCODER,worst_l1_vs_krg,2024-07-17 08:00:00,41.98333320617676,14.494332408905029,29.079997634887697,18.020722007751466,13.393178939819336,14.1192551612854,4.6275430679321286,563.5872177124023,258.62152366638185,304.96569404602053
METRAQ_NO2_LAST_HOUR_AUTOENCODER,worst_l1_vs_krg,2024-01-13 12:00:00,46.55,9.130980682373046,18.579998016357422,10.26082410812378,8.191273212432861,8.797969150543214,2.069550895690918,165.8174909591675,104.46569385528565,61.351797103881836
METRAQ_NO2_LAST_HOUR_AUTOENCODER,worst_l1_vs_krg,2024-02-20 17:00:00,26.55,7.710359025001526,15.999999046325684,8.494673681259155,6.636442041397094,7.727711629867554,1.8582316398620609,101.05601119995117,70.1787181854248,30.877293014526366
METRAQ_NO2_LAST_HOUR_AUTOENCODER,worst_l1_vs_krg,2024-04-25 11:00:00,35.025,11.557710742950439,23.58499813079834,10.978601360321045,9.208765268325806,9.610349416732788,1.769836091995239,172.77696723937987,134.44971771240233,38.327249526977546
METRAQ_NOX_ALL_HOURS_UNET,best_l1_vs_krg,2024-01-08 09:00:00,340.225,140.2817834854126,288.3099700927734,111.54514846801757,129.12514038085936,119.54796257019044,-17.5799919128418,23466.262841796874,27716.258203125,-4249.995361328125
METRAQ_NOX_ALL_HOURS_UNET,best_l1_vs_krg,2024-12-02 20:00:00,256.275,112.48168983459473,226.62998046875,104.43772201538086,115.43052444458007,113.0883975982666,-10.99280242919922,18138.100012207033,19190.172412109376,-1052.0723999023437
METRAQ_NOX_ALL_HOURS_UNET,best_l1_vs_krg,2024-10-22 20:00:00,106.625,63.498363971710205,123.08998413085938,49.97920227050781,58.988515090942386,57.59561557769776,-9.00931282043457,5052.248361206055,5418.115795898438,-365.8674346923828
METRAQ_NOX_ALL_HOURS_UNET,best_l1_vs_krg,2024-01-10 08:00:00,144.975,39.69157991409302,81.46999053955078,23.25251159667969,31.795488166809083,27.814818954467775,-8.542976570129397,813.0555809020996,1397.6316009521483,-584.5760200500488
METRAQ_NOX_ALL_HOURS_UNET,best_l1_vs_krg,2024-03-15 09:00:00,88.29166564941406,35.83835983276367,72.87665977478028,16.946019649505615,23.092413330078124,19.743459510803223,-6.14639368057251,462.9963836669922,775.6530975341797,-312.6567138671875
METRAQ_NOX_ALL_HOURS_UNET,worst_l1_vs_krg,2024-07-17 08:00:00,61.61666641235352,31.168267250061035,59.67999114990234,30.166699600219726,24.042848777770995,24.717568492889406,6.1238508224487305,1680.1262512207031,1252.082371520996,428.043879699707
METRAQ_NOX_ALL_HOURS_UNET,worst_l1_vs_krg,2024-12-16 11:00:00,80.9875,39.02087116241455,78.58498725891113,34.460534286499026,28.376178741455078,30.424141311645506,6.0843555450439455,1774.7677124023437,1218.3854705810547,556.3822418212891
METRAQ_NOX_ALL_HOURS_UNET,worst_l1_vs_krg,2024-12-13 09:00:00,67.6,22.835295057296754,46.3199966430664,20.026567935943604,17.095264053344728,16.350342178344725,2.9313038825988764,649.2350601196289,450.4502578735352,198.78480224609376
METRAQ_NOX_ALL_HOURS_UNET,worst_l1_vs_krg,2024-03-17 16:00:00,15.3,5.573183310031891,10.739998149871827,8.63762993812561,5.707086491584778,6.530519723892212,2.9305434465408324,108.26945338249206,56.32832546234131,51.941127920150755
METRAQ_NOX_ALL_HOURS_UNET,worst_l1_vs_krg,2024-11-25 19:00:00,51.65,24.495125675201415,47.879994010925294,23.033614540100096,20.166463756561278,19.805437755584716,2.8671507835388184,1427.3920181274414,1345.7762862205504,81.61573190689087
METRAQ_NOX_LAST_HOUR_UNET,best_l1_vs_krg,2024-02-13 14:00:00,56.175,33.8487904548645,67.4499937057495,14.045928907394408,24.879833507537843,17.150124263763427,-10.833904600143432,350.27512855529784,823.7440124511719,-473.468883895874
METRAQ_NOX_LAST_HOUR_UNET,best_l1_vs_krg,2024-11-09 07:00:00,105.1,45.6823709487915,93.03998985290528,24.33653316497803,33.43701057434082,27.528623580932617,-9.100477409362792,999.1178428649903,1907.358218383789,-908.2403755187988
METRAQ_NOX_LAST_HOUR_UNET,best_l1_vs_krg,2024-01-10 08:00:00,144.975,39.69157991409302,81.46999053955078,25.807171440124513,31.795488166809083,27.814818954467775,-5.988316726684574,1108.5377670288085,1397.6316009521483,-289.09383392333984
METRAQ_NOX_LAST_HOUR_UNET,best_l1_vs_krg,2024-02-03 09:00:00,61.75,30.72976150512695,63.999996948242185,20.761479330062866,25.938733100891113,24.264017200469972,-5.177253770828247,749.863712310791,959.346435546875,-209.48272323608398
METRAQ_NOX_LAST_HOUR_UNET,best_l1_vs_krg,2024-05-25 07:00:00,35.15,23.214207935333253,44.539993095397946,13.558055925369263,17.944793605804442,16.401605892181397,-4.386737680435182,503.7141311645508,653.9027130126954,-150.18858184814454
METRAQ_NOX_LAST_HOUR_UNET,worst_l1_vs_krg,2024-03-17 16:00:00,15.3,5.573183310031891,10.739998149871827,136.01454224586487,5.707086491584778,6.530519723892212,130.30745575428008,679376.2641553401,56.32832546234131,679319.9358298779
METRAQ_NOX_LAST_HOUR_UNET,worst_l1_vs_krg,2024-10-13 11:00:00,19.45,8.640693497657775,18.2599986076355,28.22531638145447,9.50532488822937,9.560337734222411,18.719991493225095,13961.054877471925,131.15804347991943,13829.896833992005
METRAQ_NOX_LAST_HOUR_UNET,worst_l1_vs_krg,2024-11-17 18:00:00,143.775,60.51853427886963,121.44998397827149,88.38312683105468,78.15072746276856,81.35733566284179,10.232399368286135,10995.940771484375,8037.266748046875,2958.6740234375
METRAQ_NOX_LAST_HOUR_UNET,worst_l1_vs_krg,2024-12-02 20:00:00,256.275,112.48168983459473,226.62998046875,122.01814575195313,115.43052444458007,113.0883975982666,6.58762130737305,21728.23056640625,19190.172412109376,2538.058154296875
METRAQ_NOX_LAST_HOUR_UNET,worst_l1_vs_krg,2024-07-17 08:00:00,61.61666641235352,31.168267250061035,59.67999114990234,30.1296425819397,24.042848777770995,24.717568492889406,6.0867938041687015,1631.3826232910155,1252.082371520996,379.30025177001954
